access_estsize,access_url,datalink_url,date_obs,dec,dec_pnt,det_chip1id,det_chop_ncycles,det_dit,det_expid,det_ndit,dp_cat,dp_id,dp_tech,dp_type,ecl_lat,ecl_lon,exp_start,exposure,filter_path,gal_lat,gal_lon,grat_path,gris_path,ins_mode,instrument,lambda_max,lambda_min,last_mod_date,mjd_obs,ob_id,ob_name,object,obs_mode,origfile,period,pi_coi,prog_id,prog_title,prog_type,ra,ra_pnt,release_date,s_region,slit_path,target,tel_airm_end,tel_airm_start,tel_alt,tel_ambi_fwhm_end,tel_ambi_fwhm_start,tel_ambi_pres_end,tel_ambi_pres_start,tel_ambi_rhum,tel_az,telescope,tpl_expno,tpl_id,tpl_name,tpl_nexp,tpl_seqno,tpl_start,col1,col2,col3,col4
521,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T06:07:34.844,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T06:07:34.844,2003-09-06T06:07:34.8424,-16.33871,-16.33871,,20,0.0625,1595,120,SCIENCE,TIMMI.2003-09-06T06:07:34.844,,,-6.293302,207.202463,2003-09-06T06:07:34.843Z,300.0,NEII-FILTER,-55.223732,43.514118,,,IMAGING,TIMMI2,,,2011-08-19T14:20:47.443Z,52888.2552644,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1271_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.10817611,337.108176,2004-09-06T06:07:34Z,POSITION J2000 337.10817599999996 -16.33871,0.2ARC/PIX_MASK,MARS,1.149,1.149,60.48,0.91,1.0,772.9,773.1,26.0,469.615,ESO-3P6,2,TIMMI2_img_obs_smallsource,TIMMI single exposure,16,11,2003-09-06T06:07:11,TIMMI.2003-09-06T06:07:34.844,,TIMMI2,MARS
521,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T06:08:44.796,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T06:08:44.796,2003-09-06T06:08:44.7943,-16.33871,-16.33871,,20,0.0625,1600,120,SCIENCE,TIMMI.2003-09-06T06:08:44.796,,,-6.293249,207.202597,2003-09-06T06:08:44.797Z,300.0,NEII-FILTER,-55.223601,43.514015,,,IMAGING,TIMMI2,,,2011-08-19T14:20:41.283Z,52888.25607403,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1276_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.10802611,337.108026,2004-09-06T06:08:44Z,POSITION J2000 337.108026 -16.33871,0.2ARC/PIX_MASK,MARS,1.152,1.151,60.24,0.98,0.98,772.9,772.9,26.0,469.322,ESO-3P6,7,TIMMI2_img_obs_smallsource,TIMMI single exposure,16,11,2003-09-06T06:07:11,TIMMI.2003-09-06T06:08:44.796,,TIMMI2,MARS
526,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T06:09:17.285,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T06:09:17.285,2003-09-06T06:09:17.2833,-16.3387,-16.3387,,20,0.0625,1602,120,SCIENCE,TIMMI.2003-09-06T06:09:17.285,,,-6.290054,207.210673,2003-09-06T06:09:17.287Z,300.0,NEII-FILTER,-55.21572,43.507807,,,IMAGING,TIMMI2,,,2011-08-19T14:20:41.643Z,52888.25645006,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1278_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.09902305,337.099023,2004-09-06T06:09:17Z,POSITION J2000 337.099023 -16.3387,0.2ARC/PIX_MASK,MARS,1.153,1.153,60.122,0.98,0.98,772.9,772.9,26.0,469.181,ESO-3P6,9,TIMMI2_img_obs_smallsource,TIMMI single exposure,16,11,2003-09-06T06:07:11,TIMMI.2003-09-06T06:09:17.285,,TIMMI2,MARS
524,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T06:10:12.670,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T06:10:12.670,2003-09-06T06:10:12.6686,-16.33871,-16.33871,,20,0.0625,1606,120,SCIENCE,TIMMI.2003-09-06T06:10:12.670,,,-6.290086,207.210619,2003-09-06T06:10:12.670Z,300.0,NEII-FILTER,-55.21578,43.507836,,,IMAGING,TIMMI2,,,2011-08-19T14:20:44.307Z,52888.25709109,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1282_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.09908694,337.099087,2004-09-06T06:10:12Z,POSITION J2000 337.099087 -16.33871,0.2ARC/PIX_MASK,MARS,1.156,1.155,59.929,1.12,1.12,772.9,772.9,25.0,468.951,ESO-3P6,13,TIMMI2_img_obs_smallsource,TIMMI single exposure,16,11,2003-09-06T06:07:11,TIMMI.2003-09-06T06:10:12.670,,TIMMI2,MARS
525,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T06:10:53.984,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T06:10:53.984,2003-09-06T06:10:53.9823,-16.33871,-16.33871,,20,0.0625,1609,120,SCIENCE,TIMMI.2003-09-06T06:10:53.984,,,-6.290009,207.210816,2003-09-06T06:10:53.983Z,300.0,NEII-FILTER,-55.215589,43.507684,,,IMAGING,TIMMI2,,,2011-08-19T14:20:42.610Z,52888.25756926,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1285_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.09886805,337.098868,2004-09-06T06:10:53Z,POSITION J2000 337.09886800000004 -16.33871,0.2ARC/PIX_MASK,MARS,1.157,1.157,59.788,0.98,0.98,772.9,772.9,25.0,468.784,ESO-3P6,16,TIMMI2_img_obs_smallsource,TIMMI single exposure,16,11,2003-09-06T06:07:11,TIMMI.2003-09-06T06:10:53.984,,TIMMI2,MARS
441,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T06:11:46.814,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T06:11:46.814,2003-09-06T06:11:46.8122,-16.33871,-16.33871,,20,0.0833,1610,120,SCIENCE,TIMMI.2003-09-06T06:11:46.814,IMAGE,,-6.293056,207.203087,2003-09-06T06:11:46.813Z,399.84,M-FILTER,-55.223123,43.513637,,,IMAGING,TIMMI2,4915.0,4365.0,2011-07-13T19:20:10.350Z,52888.25818072,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1286_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.10748,337.10748,2004-09-06T06:11:46Z,POSITION J2000 337.10748 -16.33871,0.3ARC/PIX_MASK,MARS,1.159,1.159,59.612,1.02,1.02,773.1,773.1,25.0,468.578,ESO-3P6,1,TIMMI2_img_obs_smallsource,TIMMI single exposure,12,12,2003-09-06T06:11:13,TIMMI.2003-09-06T06:11:46.814,IMAGE,TIMMI2,MARS
576,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T05:47:13.794,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T05:47:13.794,2003-09-06T05:47:13.7929,-16.33871,-16.33871,,60,0.0208,1530,360,SCIENCE,TIMMI.2003-09-06T05:47:13.794,,,-6.29541,207.197115,2003-09-06T05:47:13.793Z,898.56,11.9_OCLI,-55.228945,43.518238,,,IMAGING,TIMMI2,,,2011-08-19T14:20:43.523Z,52888.24113188,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1206_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.114135,337.114135,2004-09-06T05:47:13Z,POSITION J2000 337.11413500000003 -16.33871,0.2ARC/PIX_MASK,MARS,1.107,1.107,64.598,1.04,1.04,773.2,773.2,25.0,475.396,ESO-3P6,3,TIMMI2_img_obs_smallsource,TIMMI single exposure,8,5,2003-09-06T05:46:37,TIMMI.2003-09-06T05:47:13.794,,TIMMI2,MARS
587,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T05:48:26.045,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T05:48:26.045,2003-09-06T05:48:26.0433,-16.33871,-16.33871,,60,0.0208,1535,360,SCIENCE,TIMMI.2003-09-06T05:48:26.045,,,-6.29233,207.204927,2003-09-06T05:48:26.447Z,898.56,11.9_OCLI,-55.22133,43.51222,,,IMAGING,TIMMI2,,,2011-08-19T14:20:47.650Z,52888.24196811,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1211_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.10543,337.10543,2004-09-06T05:48:26Z,POSITION J2000 337.10543 -16.33871,0.2ARC/PIX_MASK,MARS,1.109,1.109,64.354,1.05,1.05,773.1,773.1,25.0,475.004,ESO-3P6,8,TIMMI2_img_obs_smallsource,TIMMI single exposure,8,5,2003-09-06T05:46:37,TIMMI.2003-09-06T05:48:26.045,,TIMMI2,MARS
581,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T05:51:01.032,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T05:51:01.032,2003-09-06T05:51:01.0299,-16.33871,-16.33871,,60,0.0208,1536,360,SCIENCE,TIMMI.2003-09-06T05:51:01.032,IMAGE,,-6.294311,207.199903,2003-09-06T05:51:01.317Z,898.56,10.4_OCLI,-55.226227,43.51609,,,IMAGING,TIMMI2,10890.0,9870.0,2011-07-13T19:20:09.460Z,52888.24376194,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1212_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.11102805,337.111028,2004-09-06T05:51:01Z,POSITION J2000 337.11102800000003 -16.33871,0.2ARC/PIX_MASK,MARS,1.114,1.114,63.845,1.2,1.2,773.2,773.2,26.0,474.21,ESO-3P6,1,TIMMI2_img_obs_smallsource,TIMMI single exposure,8,6,2003-09-06T05:50:51,TIMMI.2003-09-06T05:51:01.032,IMAGE,TIMMI2,MARS
578,https://dataportal.eso.org/dataPortal/file/TIMMI.2003-09-06T05:52:13.523,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?TIMMI.2003-09-06T05:52:13.523,2003-09-06T05:52:13.5212,-16.33871,-16.33871,,60,0.0208,1541,360,SCIENCE,TIMMI.2003-09-06T05:52:13.523,,,-6.291143,207.207939,2003-09-06T05:52:13.523Z,898.56,10.4_OCLI,-55.218394,43.5099,,,IMAGING,TIMMI2,,,2011-08-19T14:20:42.407Z,52888.24460096,1092856997,MARS-multicolor,,s,TIMMI2_img_obs_smallsource_1217_CUBE1.fits,,TIMMI2 USER,60.A-9126(F),ENGINEERING RUN FOR TIMMI2,0,337.10207388,337.102074,2004-09-06T05:52:13Z,POSITION J2000 337.102074 -16.33871,0.2ARC/PIX_MASK,MARS,1.117,1.116,63.598,0.96,0.96,773.1,773.1,25.0,473.836,ESO-3P6,6,TIMMI2_img_obs_smallsource,TIMMI single exposure,8,6,2003-09-06T05:50:51,TIMMI.2003-09-06T05:52:13.523,,TIMMI2,MARS
