FORS1.2003-08-28T08:39:56.001,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:44:30.924,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:09:22.844,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:38:15.988,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:43:17.356,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:52:50.305,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:53:58.725,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:56:15.176,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:26:03.851,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:43:49.880,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:50:42.896,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:33:08.523,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:48:25.171,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:25:29.163,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:35:26.832,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:47:33.090,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:06:16.637,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:18:12.937,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:35:13.261,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:39:45.712,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:55:07.142,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:19:13.623,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:24:00.331,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:25:02.440,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:36:48.959,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:45:46.189,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:56:21.443,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T09:02:06.901,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T09:04:05.299,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T09:09:07.990,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:28:45.132,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:29:47.820,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:42:52.639,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:56:05.490,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:57:34.135,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:14:35.358,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:19:41.037,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:40:27.521,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:42:32.817,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:08:17.910,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:09:24.185,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:11:20.491,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:20:34.822,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:25:38.935,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:18:46.045,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:29:28.317,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:45:36.689,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:56:48.216,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T09:01:51.879,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:26:08.557,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:09:25.255,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:19:12.871,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:22:53.217,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:41:48.824,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:43:57.401,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:53:01.652,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:01:05.933,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:02:12.496,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:05:16.642,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:44:26.011,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:32:47.396,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:40:38.784,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:42:46.615,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:47:13.296,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:26:40.379,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:46:57.827,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:03:18.159,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:16:05.431,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:45:51.476,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:48:12.591,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:53:15.781,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:54:43.095,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:02:15.246,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:17:44.315,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:24:26.050,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:49:15.949,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:50:18.497,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:27:55.013,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:16:42.456,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:43:25.963,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:27:13.316,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:34:08.378,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:33:51.132,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:34:53.994,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T08:51:48.769,POLARIMETRY,FORS1,MARS
FORS1.2003-09-03T09:05:34.168,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:27:42.263,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:31:41.717,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:37:58.804,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:45:01.735,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T03:59:59.770,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:12:35.815,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:20:50.072,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T04:51:21.419,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:00:19.465,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T05:15:15.639,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:13:19.174,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:20:39.705,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:51:29.463,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T08:52:36.362,POLARIMETRY,FORS1,MARS
FORS1.2003-08-28T09:00:44.080,POLARIMETRY,FORS1,MARS
FORS1.2003-08-30T08:03:55.529,POLARIMETRY,FORS1,MARS
